"doffin_referanse";"navn";"publisert_av";"kunngjoring_type";"kunngjoring_dato";"tilbudsfrist_dato";"lenke";"cpv";"beskrivelse";"estimert_totalverdi";"kunngjort_uke";"kunngjort_år";"fristlengde"
"2021-345291";"Kjøp av konsulenttjeneste- Revisjon av Standard for Drift og vedlikehold av Riksveger (Håndbok R610)";"Statens vegvesen ";"Kunngjøring av konkurranse";"2021-04-22";"2021-05-25";"/Notice/Details/2021-345291";"73220000";"Statens vegvesen, heretter benevnt som Oppdragsgiver ønsker tilbud konsulenttjenester til revisjon av Håndbok R610. Formålet med anskaffelsen er revisjon av Håndbok R 610 Standard for Drift og vedlikehold av Riksveger.";NA;"16";"2021";"33"
"2021-399947";"Undersøkelse av kommuners erfaring med bruk av samfunnsdelen i kommuneplanen";"Kommunal- og moderniseringsdepartementet ";"Kunngjøring av konkurranse";"2021-04-21";"2021-05-20";"/Notice/Details/2021-399947";"73220000";"Departementet har behov for å få en bedre oversikt over kommuners praktiske erfaring med bruk av samfunnsdelen.
Som en første fase i oppdraget vil det være behov for å skaffe en tilstrekkelig oversikt over status for arbeidet med samfunnsdelen i mellomstore kommuner, og derigjennom en første kartlegging av kommuner det er ønskelig å vurdere nærmere. Deretter skal det gjennomføres en kvalitativ undersøkelse basert på mer dyptgående intervjuer av involverte i et representativt utvalg av kommuner, og med utgangspunkt i et sett av forhåndsdefinerte problemstillinger det er ønskelig å å belyst, jf. bilag 1. Kriteriene for utvelgelse av kommuner vil skje i samråd med departementet.
KMD-PLAN har en øvre økonomisk ramme for oppdraget på kroner 500.000,- eks. mva.
Endelig rapport skal leveres departementet innen 1. desember 2021. Utkast til sluttrapport leveres departementet tre uker før for gjennomsyn/kommentarer og drøfting med konsulenten.
";"500000";"16";"2021";"29"
"2021-373851";"Treffsikker bosetting, nye metoder og verktøy";"Integrerings- og mangfoldsdirektoratet (IMDi) ";"Kunngjøring av konkurranse";"2021-04-21";"2021-05-10";"/Notice/Details/2021-373851";"73110000";"Formålet med oppdraget er å øke treffsikkerheten i IMDis bosettingsarbeid. Oppdraget består av to ulike deler med ulike forskningsdesign- og metodebehov.
Den første delen har som formål å identifisere nødvendig og tilgjengelig kunnskap om bosettingskommuner og -regioner som oppdateres med jevne mellomrom
Den andre delen har som formål å utvikle en modell for hvordan kunnskap om bosettingskommuner og kunnskap om den enkelte flyktning kan kobles sammen på en måte som fører til økt treffsikkerhet
";"1000000";"16";"2021";"19"
"2021-309252";"Rammeavtale konsulenttjenester for organisasjonsgjennomganger av sivilsamfunnsorganisasjoner";"Norad – Direktoratet for utviklingssamarbeid ";"Kunngjøring av konkurranse";"2021-04-21";"2021-05-21";"/Notice/Details/2021-309252";"73220000";"Flere av Norads avdelinger forvalter avtaler med sivilsamfunnsorganisasjoner. Organisasjonsgjennomganger gjennomføres jevnlig, spesielt i forbindelse med vurdering av nye søknader fra organisasjonene til Norad. Organisasjonsgjennomgangene vurderer organisasjonenes systemer for forvaltning av midler, kostnadseffektivitet og resultatoppfølging, samt deres resultatoppnåelse. Rammeavtalen vil brukes til gjennomganger av organisasjoner støttet over ulike ordninger, men hoveddelen av gjennomgangene vil gjelde støtte til Styrking av Sivilt Samfunn.
Organisasjonsgjennomganger gjennomført over denne rammeavtalen er ment å gi råd knyttet for å sikre bedre planlegging og oppfølging fra Norad og avtalepartneres side. Gjennomganger brukes som bakgrunn for Norads beslutninger når det kommer til fortsatt støtte eller justeringer av fremtidig samarbeid med de respektive organisasjonene.
";"16000000";"16";"2021";"30"
"2021-342315";"Konsulent revisjonstjenester, helserevisjon";"Universitetet i Oslo ";"Kunngjøring av konkurranse";"2021-04-21";"2021-05-07";"/Notice/Details/2021-342315";"73000000";"Utarbeide handlingsplan for oppfølging av internrevisjon av samtykkebaserte helseforskningsprosjekter";NA;"16";"2021";"16"
"2021-365546";"Kunnskapsutvikling om tolkefeltet";"Integrerings- og mangfoldsdirektoratet (IMDi) ";"Kunngjøring av konkurranse";"2021-04-21";"2021-05-26";"/Notice/Details/2021-365546";"73000000";"For å imøtekomme samfunnets behov for tolketjenester, er det nødvendig med gode metoder for å kartlegge og måle tolkebruk i offentlig sektor, samt gjøre framskrivninger av tolkebehov. Det er også behov for økt kunnskap om tolkers arbeidsvilkår, og hvordan disse påvirker markedet og profesjonsutviklingen.";"3000000";"16";"2021";"35"
"2021-335638";"KONSULENTBISTAND - UTFØRE BIOASSAYER FOR RESISTENSUNDERSØKELSE HOS LAKSELUS. OK-PROGRAM";"Veterinærinstituttet ";"Kunngjøring av konkurranse";"2021-04-21";"2021-05-19";"/Notice/Details/2021-335638";"71900000";"KONSULENTBISTAND TIL Å UTFØRE BIOASSAYER FOR RESISTENSUNDERSØKELSE HOS LAKSELUS.
OK-PROGRAM 2021 med opsjoner 1 +1 +1 år
";NA;"16";"2021";"28"
"2021-339607";"Utredning og vurdering av framtidig skolestruktur i Nærøysund kommune";"Nærøysund kommune ";"Kunngjøring av konkurranse";"2021-04-20";"2021-05-10";"/Notice/Details/2021-339607";"73200000";"Kommunestyret i Nærøysund kommune har vedtatt at kommunen skal utrede og vurdere ulike alternativer for fremtidig skolestruktur i de kommunale grunnskolene. ";NA;"16";"2021";"20"
"2021-357029";"Midtveis gjennomgang Norad Interpol marin forsøpling av havet herunder mikroplast";"Norad – Direktoratet for utviklingssamarbeid ";"Kunngjøring av konkurranse";"2021-04-20";"2021-04-28";"/Notice/Details/2021-357029";"73000000";"I 2019 undertegnet Norad) og Interpol en tilskuddsavtale om prosjektet QZA-18/0320 “Marin forsøpling, håndhevelse, Prosjekt Fase II”. Prosjektbevilgningen er 11 100 000 norske kroner (NOK), og prosjektperioden er 1. januar 2019 til 31. desember 2021.
Prosjektet er implementert av Miljøsikkerhetsprogrammet i INTERPOL, med støtte fra andre INTERPOL-enheter når det er relevant.
Hensikten med denne gjennomgangen er å gi en uavhengig vurdering av gjennomføringen av prosjektet og prestasjonen mot de planlagte prosjektresultatene.
Se tilbudsinviatsjonen for nærmere informasjon.
";"300000";"16";"2021";"8"
"2021-340180";"Anskaffelse av utredning av samspillet mellom introduksjonsprogrammet og Lånekassens utdanningsstøtteordninger";"Kunnskapsdepartementet ";"Kunngjøring av konkurranse";"2021-04-19";"2021-05-20";"/Notice/Details/2021-340180";"73000000";"Regjeringen gjennomfører en større integreringsreform. Reformen er en oppfølging av strategien Integrering gjennom kunnskap. Sentralt for reformen er innføringen av lov om integrering gjennom opplæring, utdanning og arbeid (integreringsloven), hvor det er lagt til rette for at flere skal kunne gjennomføre formell opplæring innenfor programmet.
KD har behov få mer kunnskap om hvordan introduksjonsstønaden og lån og stipend fra Lånekassen virker sammen for å nå målet om at flere voksne innvandrere skal få formelle kvalifikasjoner. Det er særlig behov for å vurdere om flyktningstipendet er hensiktsmessig innrettet for å sikre sammenheng i opplæringen og god overgang fra introduksjonsstønaden til annen utdanningsfinansiering. Drøftingen av samordningen mellom ordningene må bygge videre på det som kom frem i Livsoppholdsutvalgets NOU 2018:13.
Det skal utarbeides en sluttrapport innen utgangen av utgangen av mars, 2022.
";"1300000";"16";"2021";"31"
"2021-374210";"Undersøkelse om status for sykkelbruk i Fredrikstad- 2.gangs utlysning";"Fredrikstad kommune ";"Kunngjøring av konkurranse";"2021-04-18";"2021-05-18";"/Notice/Details/2021-374210";"79311200";"Oppdragsgiver inviterer med dette til konkurranse for inngåelse av avtale for kjøp av konsulenttjenester for å kartlegge nå-situasjonen for sykkel i Fredrikstad fremover mot år 2027.
Fullstendig beskrivelse av leveransen følger av vedleggene til konkurransegrunnlaget.
";"3150000";"16";"2021";"30"
"2021-393004";"Rettsoppfatning i befolkningen";"Justis- og beredskapsdepartementet ";"Kunngjøring av konkurranse";"2021-04-17";"2021-05-25";"/Notice/Details/2021-393004";"73000000";"Forskningsoppdraget skal fremskaffe ny kunnskap om den allmenne rettsoppfatning i befolkningen. Sentrale problemstillinger som skal belyses er kunnskap og holdninger i befolkningen om straffbare handlinger og straffenivå for disse. Studien skal også belyse hvordan folk resonnerer rundt de grensedragninger som er satt mellom lovlige og straffbare handlinger.
Prosjektet skal bestå av to deler, en kvantitativ og en kvalitativ. Den kvantitative delen skal omfatte innbyggernes kjennskap til hvilke handlinger som er straffbare og hvilket straffenivå som faktisk gjelder for ulike typer lovbrudd. Den kvalitative delen skal fange opp resonnementer om hvordan folk tenker om straff. Den kvalitative delen skal bygge på tema fra spørreundersøkelsen, men gå mer i dybden på hvordan ulike handlinger blir forstått, og hvordan det kan trekkes grenser mellom handlinger som kan tolereres og hvilke som skal være straffbare.
";"3000000";"16";"2021";"38"
"2021-317959";"Nasjonal omfangsundersøkelse av økonomisk kriminalitet";"Justis- og beredskapsdepartementet ";"Kunngjøring av konkurranse";"2021-04-17";"2021-05-25";"/Notice/Details/2021-317959";"73000000";"Formålet med prosjektet er å få bedre kunnskap om det reelle omfanget av økonomisk kriminalitet, dvs. registrert kriminalitet og mørketall. Undersøkelsen skal rettes mot private og offentlige virksomheter og kartlegge oppfatninger av lovbruddsbildet innenfor næringen og egne offererfaringer, enten begått av egne ansatte eller personer utenfor virksomheten. Undersøkelsen skal også kartlegge økonomiske tap, anmeldelsestilbøyelighet, risikovurderinger og kontrolltiltak, samt oppfatninger om sannsynligheten for å bli tatt for økonomisk kriminalitet og betydningen av ulike sanksjoner for virksomheten.";"2000000";"16";"2021";"38"
"2021-307903";"Kartlegging av nasjonale og internasjonale undersøkelser om skole- og læringsmiljø";"Utdanningsdirektoratet ";"Kunngjøring av konkurranse";"2021-04-16";"2021-05-18";"/Notice/Details/2021-307903";"73110000";"Udir gjennomfører årlig en spørreundersøkelse (Elevundersøkelsen) til elever på 5. trinn til VG3 i skolen. I Elevundersøkelsen får elevene si sin mening om læring og trivsel i skolen. Svarene brukes av skolen, kommunen og staten for å gjøre skolen bedre.
 For å sikre at Elevundersøkelsen er et relevant og nyttig verktøy har Udir igangsatt en større revisjon som omfatter både det faglige innholdet og tekniske løsninger. Som et ledd i dette arbeidet ønsker Udir å få utført en kartlegging og vurdering av relevante nasjonale og internasjonale undersøkelser om skole- og læringsmiljø som overlapper med dagens Elevundersøkelse.
";NA;"16";"2021";"32"
"2021-355889";"Konsulentavtaler - analyser av råolje- og våtgassmarkedet (NGL)";"Olje- og energidepartementet ";"Kunngjøring av konkurranse";"2021-04-15";"2021-05-18";"/Notice/Details/2021-355889";"71620000";"Formålet med oppdraget er å gi sekretariatet til Petroleumsprisrådet (PPR) i Olje- og energidepartementet (OED) råd om utviklingen i olje- og våtgassmarkedet (NGL), herunder markedsanalyser av de ulike råolje- og våtgasskvalitetene som er relevante for verdsettelsen av norsk råolje og våtgass. Dette inkluderer evaluering av olje- og våtgassprisinformasjon, analyser, samt andre rapporter m.m. knyttet til markedene for råolje, olje og våtgassprodukter. Konsulenten må kunne gi råd om markedsverdi for ulike råolje og våtgasskvaliteter i en rapport om skal leveres hvert kvartal.
Departementet bruker denne typen tjenester hovedsakelig for sekretariatets arbeid (PPR). For alle relevant salg fastsetter PPR normpriser (skattereferansepriser) for de norske råolje- og våtgasskvalitetene kvartalsvis.
";"6000000";"15";"2021";"33"
"2021-310819";"Nordic Scalers 2.0: Partnerskap for etablering av et nordisk økosystem for modne vekstbedrifter («scaleups»)";"Norden Nordic Innovation / Nordisk Innovation ";"Kunngjøring av konkurranse";"2021-04-15";"2021-05-31";"/Notice/Details/2021-310819";"73000000";"Nordic Innovation søker med dette etter en samarbeidspartner som kan bistå i arbeidet med å bygge et nordisk økosystem/fellesskap for et nærmere definert segment av vekstbedrifter i Norden – dvs. en såkalt «scaleup community». Dette kan omfatte arrangementer, nettverksbygging, gjensidig læring, alumni-aktiviteter, nyttige verktøy og annet.";"1100000";"15";"2021";"46"
"2021-392508";"Rammeavtale for konsulentbistand ifm. utviklings- og utredningsoppdrag";"Direktoratet for samfunnssikkerhet og beredskap (DSB) ";"Kunngjøring av konkurranse";"2021-04-15";"2021-05-12";"/Notice/Details/2021-392508";"73000000";"Anskaffelsen gjelder inngåelse av rammeavtale for konsulentbistand innenfor følgende definerte kompetanseområder:
A: Organisasjonsutvikling og -analyser
B: Tilstandsanalyser og evalueringer
C: Kunnskapsbaserte beslutningsgrunnlag og samfunnsøkonomiske analyser
D: datainnsamling: Befolknings- og brukerundersøkelser
E: Tjenestedesign
Det skal inngås avtale med 3-5 leverandører innenfor hvert enkelt kompetanseområde.
";"25000000";"15";"2021";"27"
"2021-352264";"Strategisk rådgivningstjenester til Energi21 2021 - 2022";"Norges forskningsråd ";"Kunngjøring av konkurranse";"2021-04-14";"2021-04-30";"/Notice/Details/2021-352264";"73000000";"Rådgivningstjenestene omfatter å bistå administrasjonen til Energi21 i forbindelse med revisjon av Energi21 strategien fra 2018. ";"800000";"15";"2021";"16"
"2021-321835";"Bistand til utredning om MC-sikkerhet";"Vegtilsynet ";"Kunngjøring av konkurranse";"2021-04-12";"2021-05-07";"/Notice/Details/2021-321835";"73000000";"Vegtilsynet innbyr til konkurranse for bistand til gjennomføring av utredning knyttet til trafikksikkerhet for motorsyklister.
Oppgaven er dels administrativ og dels faglig. Utredningsansvarlig har ansvaret for å planlegge fremdriften i utredningen, styre arbeidet, koordinere ressurser og sikre dokumentasjon. I tillegg skal utredningsansvarlig inneha tilstrekkelig fagkunnskap til å identifisere relevante kilder, vurdere innholdet i disse og formidle relevant informasjon, samt vurdere og forklare hvordan denne informasjonen påvirker temaet for utredningen.
Utredningen skal oppfylle minimumskravene i Utredningsinstrusksen punkt 2.1 og Vegtilsynets egne prosesser (vedlegg 4), med følgende problemstilling som utgangspunkt: «Sikkerhetstiltak i veginfrastrukturen ivaretar ikke i tilstrekkelig grad behovene til motorsyklister.»
";"765000";"15";"2021";"25"
"2021-364969";"Utredning av lønns- og arbeidsvilkår i luftfarten";"Samferdselsdepartementet ";"Kunngjøring av konkurranse";"2021-04-12";"2021-04-29";"/Notice/Details/2021-364969";"73200000";"Lavprisselskap med driftslisens fra EØS-land kan ønske å bruke sin rett til å etablere ruter i det norske innenlandsmarkedet i tråd med forordning (EF) nr. 1008/2008. Noen selskap bygger driften sin på forretningsmodeller med vesentlig lavere lønns- og arbeidskostnader enn i det norske markedet. Når disse selskapene yter sine tjenester i Norge, har disse selskapene en kostnadsfordel, og dermed en konkurransefordel. Det er i seg selv positivt med konkurranse, men i en bransje med svært små fortjenestemarginer er det viktig å vite at konkurransen skjer på et juridisk riktig, og dermed rettferdig, grunnlag.
For å få bedre oversikt over de arbeidsrettslige rammene for denne utviklingen, ønsker Samferdselsdepartementet som oppdragsgiver å anskaffe en rapport som redegjør for disse problemstillingene.
For nærmere beskrivelse av leveransen, se bilag 1 til kontrakt (Kundens beskrivelse av oppdraget).
";"500000";"15";"2021";"17"
"2021-378419";"Utviklingsarbeid av integrert andrespråkslæring i opplæringsløp mot fagbrev for voksne";"Kompetanse Norge ";"Kunngjøring av konkurranse";"2021-04-12";"2021-05-10";"/Notice/Details/2021-378419";"73000000";"Oppdragsgiver ønsker å sette i gang et utviklingsarbeid hvor formålet er å frembringe kunnskap om pedagogiske praksiser som integrerer andrespråkslæring i et modulstrukturert opplæringsløp mot fagbrev for voksne deltakere. Formålet med oppdraget er å styrke kunnskapsgrunnlaget om hvilke pedagogiske praksiser som effektivt støtter opp om voksne deltakeres språkutvikling i norsk integrert i opplæringsløp mot fagbrev, og om hvilke rammer og strukturer denne type praksiser forutsetter. Vi ønsker tilbydere fra universitets- og høyskolesektoren som har erfaring med og kompetanse i norsk som andrespråk, skolebasert kompetanseutvikling og med grunnopplæring for voksne, inkludert fag- og yrkesopplæring. Det er mulig med samarbeid mellom flere tilbydere.";"1250000";"15";"2021";"28"
"2021-305869";"Etablering og drift av FOU-nettverk knyttet til ""arbeidsmiljøsatsingen"" under IA-avtalen";"Petroleumstilsynet ";"Kunngjøring av konkurranse";"2021-04-12";"2021-05-18";"/Notice/Details/2021-305869";"71317200";"Arbeidsmiljøsatsingen i IA-avtalen 2019-2022 innebærer at Petroleumstilsynet skal bidra til at selskapene øker kvaliteten av sitt systematisk forebyggende arbeid, for å redusere sykefravær og frafall. 
Ptil vil i en periode 2021 - 2022 tilknytte seg et FOU-nettverk som skal bidra med å bygge IA-kompetanse i Petroleumstilsynet slik at vi har et bedre grunnlag for å tilrettelegge våre tiltak og oppfølging. Anskaffelsen gjelder etablering av et FOU-nettverk med en prosjektkoordinator som har ansvar for alle leveranser og å drifte nettverket. 
I forkant av tilbudsfrist vi det arrangeres et webinar med mulighet for å stille spørsmål. Dato for webinar vil publiseres på konkurransen. 
";"1300000";"15";"2021";"36"
"2021-330348";"ANSK-0012-21 Rammeavtale Kurs og rådgivning ved forskningssøknader";"UNIVERSITETET I BERGEN ";"Kunngjøring av konkurranse";"2021-04-11";"2021-05-12";"/Notice/Details/2021-330348";"73000000";"UiB ønsker å opprettholde og øke finansieringen fra eksterne kilder, inkludert fra EU-program og Forskningsrådet. For dette formål ønsker UiB å tilby sine ansatte relevant opplæring f.eks. knyttet til søknadsskriving, intervjutrening, og bistand i søknadsprosessen. Formålet med denne anskaffelsen er å inngå rammeavtaler med eksterne eksperter, som kan supplere interne ressurser i dette arbeidet.";NA;"15";"2021";"31"
"2021-388247";"Måling av luftkvalitet";"Forsvaret v/Forsvarets logistikkorganisasjon ";"Kunngjøring av konkurranse";"2021-04-11";"2021-05-11";"/Notice/Details/2021-388247";"90731200";"Oppdragsgiver skal inngå denne rammeavtalen på vegne av Forsvarets Sanitet (FSAN).
FSAN er fagmyndigheten for sanitets- og veterinærtjenester til Forsvaret.
";"6000000";"15";"2021";"30"
"2021-376548";"Konsulenttjenester innen porteføljen for energi, transport og lavutslipp""";"Norges forskningsråd ";"Kunngjøring av konkurranse";"2021-04-09";"2021-05-10";"/Notice/Details/2021-376548";"73000000";"Forskningsrådet ved Avdeling for energi innbyr til åpen anbudskonkurranse i forbindelse med inngåelse av rammeavtale for kjøp av konsulenttjenester innen porteføljen for energi, transport og lavutslipp.";"8000000";"15";"2021";"31"
"2021-350453";"Undersøkelse av kvalitet i karriereveiledning i skolen";"Kompetanse Norge ";"Kunngjøring av konkurranse";"2021-04-09";"2021-05-10";"/Notice/Details/2021-350453";"73000000";"Kompetanse Norge har et tverrgående systemansvar for karriereveiledning og har nylig overtatt det faglige ansvaret for karriereveiledning i ungdomsskoler og videregående skoler fra Utdanningsdirektoratet. Kompetanse Norge skal blant annet støtte og veilede aktører i skolen når det kommer til kvalitetsutviklingen av karrierveiledningstjenestene, utvikle kunnskapsgrunnlaget og bidra til videre politikkutvikling. Kompetanse Norge har behov for mer kunnskap om karriereveiledningen i skolen, for å vite mer om hvordan kvaliteten i tjenestene kan videreutvikles og hvordan karriereveiledningen kan bidra til målene om karrierekompetanse og reflekterte og velinformerte valg.";"1250000";"15";"2021";"31"
"2021-306605";"Kompetansemegling - Vestfold og Telemark FK";"Vestfold og Telemark fylkeskommune ";"Kunngjøring av konkurranse";"2021-04-08";"2021-05-14";"/Notice/Details/2021-306605";"79411100";"Vestfold og Telemark fylkeskommune skal anskaffe kompetansemeglere som en del av prosjektet ""FORREGION-VT"", som skal motivere grønn omstilling av, og økt verdiskapning i, næringslivet. En kompetansemegler skal bistå virksomheter i sitt innovasjonsarbeid, herunder hjelpe virksomheter med å knytte seg til forskningsinstitusjoner som kan bidra med finansiering til innovasjonsarbeid.";NA;"14";"2021";"36"
"2021-330032";"Samfunnsanalyse - etablering av batterifabrikk i Rana";"Nordland fylkeskommune ";"Kunngjøring av konkurranse";"2021-04-08";"2021-05-03";"/Notice/Details/2021-330032";"73110000";"Nordland fylkeskommune sammen med Rana kommune ønsker å gjennomføre en analyse av de samfunnsmessige virkningene av følgene av Freyers etablering av batterifabrikk i Rana.
Avtalevilkårene vil være Statens Standardavtale for Oppdrag (SSA-O). Nærmere beskrivelse av oppdraget følger av bilag 1 til avtalen.
Oppdragsgivers øvre ramme for oppdraget er kr 1 000 000 (eks mva.), inklusive alle kostnader. Pris vil likevel være et tildelingskriterium. 
";"1000000";"14";"2021";"25"
"2021-395731";"Utredning av tekniske og praktiske forhold ved hurtigbåt mellom Hamar og Gjøvik";"Innlandet fylkeskommune ";"Kunngjøring av konkurranse";"2021-04-07";"2021-05-10";"/Notice/Details/2021-395731";"73200000";"Prosjektet er et fylkeskommunalt prosjekt, med finansiering fra Miljødirektoratet og deres Klimasats-ordning.  Oppdraget består i å utrede tekniske og praktiske sider ved en nullutslipps hurtigbåt på Mjøsa mellom Hamar og Gjøvik. Utredningen skal gi et godt grunnlag for å velge den beste løsningen knyttet til båt, teknisk infrastruktur og kaianlegg.";NA;"14";"2021";"33"
"2021-364045";"Hvordan bør utlendingsforvaltningen høre barn som blir berørt i utvisningssaker?";"Utlendingsdirektoratet - UDI ";"Kunngjøring av konkurranse";"2021-04-07";"2021-05-04";"/Notice/Details/2021-364045";"73000000";"Oppdraget skal gi utlendingsforvaltningen kunnskap om hvordan vi best ivaretar barns rett til å bli hørt i utvisningssaker som berører dem. Kunnskapen, analysene og anbefalingene fra prosjektet skal brukes til å vurdere hvordan norske myndigheter på beste måte kan legge til rette for høring av barn i utvisningssaker ved å utforme formålstjenlige og godt egnete ordninger.
Forskningsprosjektet skal redegjøre for regelverk og evaluere dagens praksis i Norge, innhente kunnskap om praksis i andre land og komme med anbefalinger til fremtidig norsk praksis på feltet.
";"1280000";"14";"2021";"27"
"2021-325356";"Overvåking av laks i Tanavassdraget fra 2021";"Miljødirektoratet ";"Kunngjøring av konkurranse";"2021-04-03";"2021-05-07";"/Notice/Details/2021-325356";"90711500";"Det legges i 2021 opp til telling av voksen laks med sonar i Kárášjohka og i Anárjohka. Telling av laks med sonar i Kárášjohka vil være en fast del av overvåkingsprogrammet også i 2022 og årene etter det. Det tas utgangspunkt i at telling gjennomføres i et sidevassdrag tillegg til Kárášjohka fra 2022. Imidlertid vil overvåking i vassdrag ""nr 2"" fra 2022 kunne bli bestemt ut fra den aktuelle forvaltningssituasjonen. Oppdragstaker må derfor ta høyde for at telling av laks i vassdrag nr 2 kan endres fra år til år. De mest aktuelle alternative lokalitetene for telling av laks i tillegg til Kárášjohka antas å være de norske sideelvene Goššjohka, Váljohka, Iešjohka eller Máskejohka.";"8000000";"14";"2021";"34"
"2021-386067";"Dynamisk innkjøpsordning - Utvikling, tilpasning og vedlikehold av veivisere og kodebibliotek i åpen kildekode";"Direktoratet for byggkvalitet ";"Kunngjøring av konkurranse";"2021-04-02";"2025-05-09";"/Notice/Details/2021-386067";"72200000";"Oppdragsgiver ønsker konsulentbistand i forbindelse med utvikling av våre digitale steg-for-steg-veivisere. Bistanden vil først og fremst dreie seg om utvikling og programmering basert på kravspesifikasjoner fra oppdragsgiver, men vil også kunne omfatte brukertesting, prototyping, interaksjonsdesign, implementering og dokumentasjon av veivisere.
Se vedlegg for flere detaljer om oppdraget.
Klikk her https://permalink.mercell.com/150198957.aspx
";"5000000";"14";"2021";NA
"2021-329232";"Registrering av veidata på kommunalt veinett - 2. gangs utlysning";"Asker kommune ";"Kunngjøring av konkurranse";"2021-03-31";"2021-05-06";"/Notice/Details/2021-329232";"71350000";"Kontraktens sentrale område er registrering av veidata på hele det kommunale veinettet inkludert innlasting til Nasjonal vegdatabank (NVDB). Formålet er å danne grunnlag for kommunens forvaltning av veinettet og de tilhørende veiobjekter.
For nærmere omtale av anskaffelsens formål og omfang/ytelsen i hovedtrekk - se Konkurransegrunnlagets del II Bilag 1 - kravspesifkasjon
";"2400000";"13";"2021";"36"
"2021-332597";"Rammeavtale: Kjøp av klima- og miljøtjenester";"Statens vegvesen ";"Kunngjøring av konkurranse";"2021-03-31";"2021-05-10";"/Notice/Details/2021-332597";"90713000";"Statens vegvesen ønsker å inngå en rammeavtale som omfatter levering av klima- og miljøtjenester. Formålet med anskaffelsen er å oppfylle Oppdragsgivers klima- og miljøforpliktelser.
Rammeavtalen er delt opp i fem delkontrakter, oppdelt etter fagområder:
• Delkontrakt A: Livssyklusanalyser
• Delkontrakt B: Klima
• Delkontrakt C: Naturmangfold
• Delkontrakt D: Støy – kartlegging og tiltaksutredninger
• Delkontrakt E: Støy – ny kunnskap
Tilbyder kan inngi tilbud for en eller flere delkontrakt(er). Hver enkelt delkontrakt vil bli evaluert for seg, basert på tildelingskriteriene som er oppgitt i krav/kriterier i konkurransegjennomføringsverktøyet KGV.
Avtaleperioden er 2 år regnet fra dato da begge parter signerte kontrakten.
Oppdragsgiver har opsjon på å forlenge avtalen med 1 + 1 år, slik at total mulig avtalelengde blir 4 år.
";"15000000";"13";"2021";"40"
"2021-332552";"Kvalifisering: Innovasjonspartnerskap - fortsett å bli bedre etter hjerneslag";"SYKEHUSINNKJØP HF ";"Kunngjøring av konkurranse";"2021-03-31";"2021-05-04";"/Notice/Details/2021-332552";"73100000";"Personer som får hjerneslag, opplever at overgangene mellom nivåene i helsetjenesten har negativ innvirkning på deres rehabiliteringsprosess. Mange opplever at de faller i funksjon og at det er vanskelig å holde progresjon i sitt rehabiliteringsforløp. Anskaffelsens formål er å anskaffe en løsning som sikrer hjerneslagpasienter kontinuitet i rehabiliteringsprosessen fra behandling i institusjon til oppfølging i hjemmet.";NA;"13";"2021";"34"
"2021-319769";"Måloppnåelsen i Jobbsjansen 2020, samt utrede resultatforskjeller i Jobbsjansen og Introduksjonsprogrammet";"Integrerings- og mangfoldsdirektoratet (IMDi) ";"Kunngjøring av konkurranse";"2021-03-29";"2021-04-28";"/Notice/Details/2021-319769";"73110000";"Formålet med oppdraget er å utvide kunnskapsgrunnlaget om tilskuddsordningen Jobbsjansen. Oppdraget består av to deler med ulike forskningsdesign- og metodebehov. Den første delen omhandler individrapportering og analyse av måloppnåelsen i Jobbsjansen 2020, og den andre delen handler om å utrede forskjell i resultatet mellom Jobbsjansen og Introduksjonsprogrammet.";"1500000";"13";"2021";"30"
"2021-380767";"Årsaker til høye Covid-19 smittetall i innvandrerbefolkningen";"Integrerings- og mangfoldsdirektoratet (IMDi) ";"Kunngjøring av konkurranse";"2021-03-29";"2021-04-30";"/Notice/Details/2021-380767";"73000000";"Analyse av årsaker til høye Covid-19 smittetall i innvandrerbefolkningen, samt forslag til fremtidig oppfølging";"1250000";"13";"2021";"32"
"2021-377027";"Anskaffelse av konsulenttjenester for evaluering av Norges fiskeribistand til Nansen samarbeidet";"Norad – Direktoratet for utviklingssamarbeid ";"Kunngjøring av konkurranse";"2021-03-29";"2021-04-23";"/Notice/Details/2021-377027";"73000000";"Formålet med evalueringen er å vurdere resultater av norsk fiskeribistand til Nansen-samarbeidet. Hovedfokuset i evalueringen skal være rettet mot det nåværende EAF-Nansen-programmet og samarbeidets forrige fase -EAF-Nansen-prosjektet som startet i 2007. Evalueringen skal analysere oppnådde resultater på regionalt og nasjonalt nivå. Evalueringen skal trekke lærdommer for gjennomføring av det pågående samarbeidet, og utrede potensielle synergier mellom det pågående samarbeidet og den planlagte bistanden under Norads «Hav for Utvikling»-program.";NA;"13";"2021";"25"
