"doffin_referanse";"navn";"publisert_av";"kunngjoring_type";"kunngjoring_dato";"tilbudsfrist_dato";"lenke";"cpv";"estimert_totalverdi";"kunngjort_uke";"kunngjort_år";"fristlengde";"kunngjort_ukedag"
"2022-379160";"Elektriske biler - 3 stk liten varebil";"Hå kommune";"Kunngjøring av konkurranse";"2022-03-03";"2022-03-30";"/Notice/Details/2022-379160";"34144900";NA;"9";"2022";"27";"tor\."
"2022-367796";"Elektriske biler - 5 stk personbiler.";"Hå kommune";"Kunngjøring av konkurranse";"2022-03-03";"2022-03-31";"/Notice/Details/2022-367796";"34144900";NA;"9";"2022";"28";"tor\."
"2022-365205";"R01036 - Database for grunn- og vannforurensning";"Forsvarsbygg";"Kunngjøring av konkurranse";"2022-03-02";"2022-04-08";"/Notice/Details/2022-365205";"72220000";NA;"9";"2022";"37";"ons\."
"2022-399910";"Leveranse av satellittreflektorer";"Norges vassdrags- og energidirektorat (NVE)";"Kunngjøring av konkurranse";"2022-03-02";"2022-04-06";"/Notice/Details/2022-399910";"32352000";"20000000";"9";"2022";"35";"ons\."
"2022-390771";"Trysil kommune - VA Hagebekkroken";"Aquapartner AS";"Kunngjøring av konkurranse";"2022-03-02";"2022-03-24";"/Notice/Details/2022-390771";"45231300";NA;"9";"2022";"22";"ons\."
"2022-313168";"Varsel om kommende entreprise - Flomsikring Skjelnan skole";"Tromsø kommune";"Kunngjøring av konkurranse";"2022-03-02";"2022-04-21";"/Notice/Details/2022-313168";"45232450";NA;"9";"2022";"50";"ons\."
"2022-379282";"Helsefaglig ansvarlig for helsenorge";"Norsk Helsenett SF";"Kunngjøring av konkurranse";"2022-03-02";"2022-03-17";"/Notice/Details/2022-379282";"85100000";"6300000";"9";"2022";"15";"ons\."
"2022-339629";"Markedsdialog - kvalitetssystem";"Rogaland Fylkeskommune";"Kunngjøring av konkurranse";"2022-03-02";"2022-03-22";"/Notice/Details/2022-339629";"48810000";NA;"9";"2022";"20";"ons\."
"2022-333973";"Rammeavtale rekrutteringsbistand";"Ringerike Kommune";"Kunngjøring av konkurranse";"2022-03-02";"2022-04-06";"/Notice/Details/2022-333973";"79600000";NA;"9";"2022";"35";"ons\."
"2022-361580";"Kjøp av arbeidstøy til tannhelse";"Nordland fylkeskommune";"Kunngjøring av konkurranse";"2022-03-02";"2022-03-21";"/Notice/Details/2022-361580";"18100000";"8000000";"9";"2022";"19";"ons\."
"2022-342194";"22_713. Leie av lokaler, legesenter. Bygg- og anlegg åpen tilbudskonkurranse FOA del II";"Holmestrand kommune";"Kunngjøring av konkurranse";"2022-03-02";"2022-03-31";"/Notice/Details/2022-342194";"45262700";NA;"9";"2022";"29";"ons\."
"2022-329968";"Vannledning Fjordsolveien";"Randaberg kommune";"Kunngjøring av konkurranse";"2022-03-02";"2022-04-04";"/Notice/Details/2022-329968";"45231300";NA;"9";"2022";"33";"ons\."
"2022-381834";"Anskaffelse av ny elektrisk isbane prepareringsmaskin for utebane";"TØNSBERG KOMMUNE";"Kunngjøring av konkurranse";"2022-03-02";"2022-03-29";"/Notice/Details/2022-381834";"37481000";"18000000";"9";"2022";"27";"ons\."
"2022-361682";"Anskaffelse av filtermateriell til vannverk";"KRISTIANSAND KOMMUNE";"Kunngjøring av konkurranse";"2022-03-02";"2022-03-23";"/Notice/Details/2022-361682";"24954000";NA;"9";"2022";"21";"ons\."
"2022-351422";"Bredalsholmen sjøledning BRA - ORA - E4.2 Borehull ORA";"KRISTIANSAND KOMMUNE";"Kunngjøring av konkurranse";"2022-03-02";"2022-03-23";"/Notice/Details/2022-351422";"45231300";NA;"9";"2022";"21";"ons\."
"2022-353692";"Catering til FVP Osmarka";"Forsvaret v/Forsvarets logistikkorganisasjon";"Kunngjøring av konkurranse";"2022-03-02";"2022-03-11";"/Notice/Details/2022-353692";"55520000";NA;"9";"2022";"9";"ons\."
"2022-317660";"Tømrer og snekkerarbeider";"NTNU";"Kunngjøring av konkurranse";"2022-03-02";"2022-04-01";"/Notice/Details/2022-317660";"45422000";"2200000000";"9";"2022";"30";"ons\."
"2022-392136";"Anskaffelse av Modulbarnehage til Flesberg kommune";"Flesberg kommune";"Kunngjøring av konkurranse";"2022-03-02";"2022-03-28";"/Notice/Details/2022-392136";"44211100";NA;"9";"2022";"26";"ons\."
"2022-381015";"Termograferingstjenester for Helse Stavanger HF og Helse Fonna HF";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-02";"2022-03-30";"/Notice/Details/2022-381015";"50711000";NA;"9";"2022";"28";"ons\."
"2022-390548";"Begrepskurs i Helsefag. Midt-Telemark";"ARBEIDS- OG VELFERDSETATEN";"Kunngjøring av konkurranse";"2022-03-02";"2022-04-04";"/Notice/Details/2022-390548";"80590000";"2500000";"9";"2022";"33";"ons\."
"2022-312776";"Undervisningspakke for fiber innen elektrofag.";"INNLANDET FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-03-02";"2022-03-31";"/Notice/Details/2022-312776";"32562000";NA;"9";"2022";"29";"ons\."
"2022-363386";"E18 Kryssing Frognerkilen-Skarpsno";"Oslo kommune v/ Vann- og avløpsetaten";"Kunngjøring av konkurranse";"2022-03-02";"2022-04-08";"/Notice/Details/2022-363386";"45000000";NA;"9";"2022";"37";"ons\."
"2022-374379";"Konkurranse på konsulenttjeneste for utvikling av reiselivsstrategi i Troms og Finnmark fylkeskommune.";"TROMS OG FINNMARK FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-03-02";"2022-03-23";"/Notice/Details/2022-374379";"79411100";"3000000";"9";"2022";"21";"ons\."
"2022-301570";"Instrumentdekontaminatorer til robotkirurgi D/T ved Haukeland universitetssjukehus - Helse Bergen HF";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-02";"2022-04-01";"/Notice/Details/2022-301570";"33191000";"27000000";"9";"2022";"30";"ons\."
"2022-391258";"Rammeavtale Marin Gassolje (MGO)";"Forsvaret v/Forsvarets logistikkorganisasjon";"Kunngjøring av konkurranse";"2022-03-02";"2022-04-29";"/Notice/Details/2022-391258";"09130000";"17000000000";"9";"2022";"58";"ons\."
"2022-322370";"Ny konkurranse Gangbro over Fylkesvei 154 - Solberg Øst";"Ås kommune";"Kunngjøring av konkurranse";"2022-03-02";"2022-05-03";"/Notice/Details/2022-322370";"45221113";NA;"9";"2022";"62";"ons\."
"2022-368619";"Fv. 42 Skeie G/S - vei";"Agder fylkeskommune";"Kunngjøring av konkurranse";"2022-03-02";"2022-03-21";"/Notice/Details/2022-368619";"45000000";NA;"9";"2022";"19";"ons\."
"2022-303016";"BV 2022-11 - Gimleområdet sanering og separering rådgiver";"Bergen kommune - Bergen Vann";"Kunngjøring av konkurranse";"2022-03-02";"2022-03-29";"/Notice/Details/2022-303016";"71320000";NA;"9";"2022";"27";"ons\."
"2022-330133";"Generalentreprise: Ringledning i Buvika";"Skaun kommune";"Kunngjøring av konkurranse";"2022-03-02";"2022-03-23";"/Notice/Details/2022-330133";"45231300";NA;"9";"2022";"21";"ons\."
"2022-324434";"Grunnundersøkelser Skaun kommune";"Skaun kommune";"Kunngjøring av konkurranse";"2022-03-02";"2022-03-08";"/Notice/Details/2022-324434";"45111250";NA;"9";"2022";"6";"ons\."
"2022-387497";"Audiologiutstyr SNR";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-02";"2022-03-17";"/Notice/Details/2022-387497";"33100000";NA;"9";"2022";"15";"ons\."
"2022-372328";"Åpen tilbudskonkurranse - Gjennomføre en samfunnsøkonomisk analyse for obligatorisk bruk av bestillingssystem i offentlig sektor og bistand til å gjennomføre utredning basert på funn i analysen";"Direktoratet for forvaltning og økonomistyring (DFØ)";"Kunngjøring av konkurranse";"2022-03-02";"2022-03-16";"/Notice/Details/2022-372328";"71620000";"12000000";"9";"2022";"14";"ons\."
"2022-349377";"E11: Kvalifikasjonsfasen E11 Forbehandling for nytt Avløpsrenseanlegg FREVAR KF";"PPM Prosjekt";"Kunngjøring av konkurranse";"2022-03-02";"2022-04-01";"/Notice/Details/2022-349377";"45351000";"831000000";"9";"2022";"30";"ons\."
"2022-365225";"Dynamisk innkjøpsordning for kjøp av kjøretøy til Ringsaker kommune";"Ringsaker kommune";"Kunngjøring av konkurranse";"2022-03-02";"2032-03-31";"/Notice/Details/2022-365225";"34100000";NA;"9";"2022";NA;"ons\."
"2022-393896";"E39 Rogfast. Entreprise E04 -Boknafjordtunnelen nord";"Statens vegvesen";"Kunngjøring av konkurranse";"2022-03-02";"2022-04-08";"/Notice/Details/2022-393896";"45000000";NA;"9";"2022";"37";"ons\."
"2022-381893";"Medisinsk forbruksmateriell og inkontinensprodukter mv";"Valdreskommunene ved Sør-Aurdal kommune";"Kunngjøring av konkurranse";"2022-03-02";"2022-04-01";"/Notice/Details/2022-381893";"33140000";"200000000";"9";"2022";"30";"ons\."
"2022-380049";"Rammeavtale - drivstoff i bulk";"Sirkula IKS";"Kunngjøring av konkurranse";"2022-03-02";"2022-04-01";"/Notice/Details/2022-380049";"09134200";"30000000";"9";"2022";"30";"ons\."
"2022-334685";"Brøyting av rode Vengsøy - veg og uterom";"Tromsø kommune";"Kunngjøring av konkurranse";"2022-03-02";"2022-04-04";"/Notice/Details/2022-334685";"90620000";NA;"9";"2022";"33";"ons\."
"2022-300519";"Rammeavtale Taktekking";"NTNU";"Kunngjøring av konkurranse";"2022-03-01";"2022-03-24";"/Notice/Details/2022-300519";"45261210";"80000000";"9";"2022";"23";"tir\."
"2022-343212";"SLS 3D printer";"Norges miljø- og biovitenskapelige universitet";"Kunngjøring av konkurranse";"2022-03-01";"2022-03-17";"/Notice/Details/2022-343212";"30232100";NA;"9";"2022";"16";"tir\."
"2022-334575";"Legevikarer - Rammeavtale";"Bærum kommune";"Kunngjøring av konkurranse";"2022-03-01";"2022-04-06";"/Notice/Details/2022-334575";"79625000";NA;"9";"2022";"36";"tir\."
"2022-333553";"Konkurranse på drift, vedlikehold, service og beredskap av ferjekaier 2022 - 2024 - Parsell område: Finnmark";"TROMS OG FINNMARK FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-03-01";"2022-03-30";"/Notice/Details/2022-333553";"45241100";NA;"9";"2022";"29";"tir\."
"2022-378679";"Konkurranse på Drift, vedlikehold, service og beredskap av ferjekaier 2022 - 2024 - Parsell område: Troms";"TROMS OG FINNMARK FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-03-01";"2022-03-30";"/Notice/Details/2022-378679";"45241100";NA;"9";"2022";"29";"tir\."
"2022-385133";"Skolebruksplan";"Haugesund Kommune";"Kunngjøring av konkurranse";"2022-03-01";"2022-04-01";"/Notice/Details/2022-385133";"71240000";NA;"9";"2022";"31";"tir\."
"2022-338125";"Rammeavtale for vektertjenester";"Sandnes kommune";"Kunngjøring av konkurranse";"2022-03-01";"2022-03-15";"/Notice/Details/2022-338125";"79713000";"20000000";"9";"2022";"14";"tir\."
"2022-309624";"Kjøp av Bistand til Test-Fest Andøya";"Statens vegvesen";"Kunngjøring av konkurranse";"2022-03-01";"2022-03-21";"/Notice/Details/2022-309624";"79952000";"8000000";"9";"2022";"20";"tir\."
"2022-317327";"Sekretariatstjenester til kontrollutvalgene i Valdreskommunene";"Kontrollutvalgene i Valdreskommunene ved Sør-Aurdal kommune";"Kunngjøring av konkurranse";"2022-03-01";"2022-04-20";"/Notice/Details/2022-317327";"79500000";"20000000";"9";"2022";"50";"tir\."
"2022-303788";"Plasting av bøker";"Nasjonalbiblioteket";"Kunngjøring av konkurranse";"2022-03-01";"2022-04-06";"/Notice/Details/2022-303788";"79821000";"7000000";"9";"2022";"36";"tir\."
"2022-322302";"Byggearbeider ved installasjon av nytt kjøleanlegg ved Sykehuset Innlandet Elverum";"Sykehuset Innlandet HF";"Kunngjøring av konkurranse";"2022-03-01";"2022-03-23";"/Notice/Details/2022-322302";"45215140";NA;"9";"2022";"22";"tir\."
"2022-331689";"Trafikksikkerhets tiltak ved Asphaugen barnehage";"Bodø kommune";"Kunngjøring av konkurranse";"2022-03-01";"2022-04-07";"/Notice/Details/2022-331689";"45000000";NA;"9";"2022";"37";"tir\."
"2022-350953";"Rammeavtale avfall- og gjenvinningstjenester";"Oslo kommune v/ Vann- og avløpsetaten";"Kunngjøring av konkurranse";"2022-03-01";"2022-03-30";"/Notice/Details/2022-350953";"90500000";"55000000";"9";"2022";"29";"tir\."
"2022-394831";"Diverse rådgivere - Sola nye svømmehall";"Sola kommune";"Kunngjøring av konkurranse";"2022-03-01";"2022-03-23";"/Notice/Details/2022-394831";"45000000";"13000000";"9";"2022";"22";"tir\."
"2022-314065";"Planovergangstiltak Trapneset og Brønstad, Nordlandsbanen";"Bane NOR SF";"Kunngjøring av konkurranse";"2022-03-01";"2022-03-21";"/Notice/Details/2022-314065";"45221220";NA;"9";"2022";"20";"tir\."
"2022-300828";"RIB, RIV, RI vannbehandling";"Sola kommune";"Kunngjøring av konkurranse";"2022-03-01";"2022-03-23";"/Notice/Details/2022-300828";"45000000";"19200000";"9";"2022";"22";"tir\."
"2022-353262";"Kjøp av bolter til bruk som høydefastmerker";"STATENS KARTVERK";"Kunngjøring av konkurranse";"2022-02-28";"2022-03-16";"/Notice/Details/2022-353262";"44531400";NA;"9";"2022";"16";"man\."
"2022-386496";"Kontrakt: TS- og Vedlikeholdstiltak Trøndelag 2022";"Trøndelag fylkeskommune";"Kunngjøring av konkurranse";"2022-02-28";"2022-04-01";"/Notice/Details/2022-386496";"45000000";"296000000";"9";"2022";"32";"man\."
"2022-304179";"Kunnskapssammenstilling av viktige naturområder langs Nidelvkorridoren 2022";"Trondheim kommune";"Kunngjøring av konkurranse";"2022-02-28";"2022-03-16";"/Notice/Details/2022-304179";"71420000";"3000000";"9";"2022";"16";"man\."
"2022-386509";"Service- og vedlikeholdsavtale porter";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-02-28";"2022-03-15";"/Notice/Details/2022-386509";"50000000";NA;"9";"2022";"15";"man\."
"2022-381099";"Vegoppmerking fylkesveger Trøndelag Fylkeskommune";"Trøndelag fylkeskommune";"Kunngjøring av konkurranse";"2022-02-28";"2022-03-22";"/Notice/Details/2022-381099";"45233200";"450000000";"9";"2022";"22";"man\."
"2022-355530";"Rammeavtale for spunting og sprøytebetong";"Oslo kommune v/ Vann- og avløpsetaten";"Kunngjøring av konkurranse";"2022-02-28";"2022-03-11";"/Notice/Details/2022-355530";"45231300";"40000000";"9";"2022";"11";"man\."
"2022-396385";"Leasing av hjullaster";"Akasia Kirke og Gravplass AS";"Kunngjøring av konkurranse";"2022-02-28";"2022-03-18";"/Notice/Details/2022-396385";"34144710";"20000000";"9";"2022";"18";"man\."
"2022-358778";"Mudring Ylvingen ferjeleie";"Nordland fylkeskommune";"Kunngjøring av konkurranse";"2022-02-28";"2022-03-29";"/Notice/Details/2022-358778";"45000000";NA;"9";"2022";"29";"man\."
"2022-359407";"Etablerveiledning for kommunene Sigdal, Nore og Uvdal, Rollag, Flesberg og Kongsberg";"Sigdal kommune";"Kunngjøring av konkurranse";"2022-02-28";"2022-03-23";"/Notice/Details/2022-359407";"79400000";NA;"9";"2022";"23";"man\."
"2022-360752";"Fagsystem for PP-tjenesten";"INNLANDET FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-02-28";"2022-03-29";"/Notice/Details/2022-360752";"72220000";NA;"9";"2022";"29";"man\."
"2022-347887";"Anskaffelse av Totalentreprise med integrert samhandling for prosjektet Psykisk Helsevern Nordbyhagen (PHN), for Akershus Universitetssykehus HF";"Sykehusbygg HF";"Kunngjøring av konkurranse";"2022-02-28";"2022-04-01";"/Notice/Details/2022-347887";"45215140";NA;"9";"2022";"32";"man\."
"2022-307393";"Ferdigstille ståltrapp ned mot Grindbakken skole, totalentreprise";"Oslo Kommune Bydel 7 Vestre Aker";"Kunngjøring av konkurranse";"2022-02-28";"2022-03-29";"/Notice/Details/2022-307393";"45262400";NA;"9";"2022";"29";"man\."
"2022-352812";"Entreprenørtjeneste bygging Otta Skysstasjon";"Bane NOR SF";"Kunngjøring av konkurranse";"2022-02-28";"2022-03-28";"/Notice/Details/2022-352812";"45213320";NA;"9";"2022";"28";"man\."
"2022-355067";"Elektronisk løsning for digitale skjema";"BODØ KOMMUNE BARNE- OG FAMILIEENHETEN";"Kunngjøring av konkurranse";"2022-02-28";"2022-03-15";"/Notice/Details/2022-355067";"48180000";"4000000";"9";"2022";"15";"man\."
"2022-305217";"Forsterkning og TS-Tiltak Fv. 355 Gråndalen-Momrak";"Vestfold og Telemark fylkeskommune";"Kunngjøring av konkurranse";"2022-02-28";"2022-04-01";"/Notice/Details/2022-305217";"45233222";NA;"9";"2022";"32";"man\."
"2022-300344";"Gratangen kommune - Kollektivholdeplass og fortau FV7806 Årstein";"Gratangen kommune";"Kunngjøring av konkurranse";"2022-02-28";"2022-04-19";"/Notice/Details/2022-300344";"45000000";NA;"9";"2022";"50";"man\."
"2022-364140";"Nye Berkåksmoen Renseanlegg - Entreprise E2 Byggetekniske installasjoner";"Rambøll Norge AS (hovedenhet)";"Kunngjøring av konkurranse";"2022-02-28";"2022-04-04";"/Notice/Details/2022-364140";"45200000";NA;"9";"2022";"35";"man\."
"2022-333971";"Renholdsmaskiner, støvsugere, vaskemaskiner og tilknyttede produkter for profesjonelt renhold";"Viken fylkeskommune";"Kunngjøring av konkurranse";"2022-02-28";"2022-04-04";"/Notice/Details/2022-333971";"42716000";"200000000";"9";"2022";"35";"man\."
"2022-311572";"Bankgata Flerbrukshall - Akustiske tiltak";"Bodø kommune";"Kunngjøring av konkurranse";"2022-02-28";"2022-02-23";"/Notice/Details/2022-311572";"45323000";"20000000";"9";"2022";"-5";"man\."
"2022-356423";"Mikromobilitet Kristiansand 2022";"OFA - Konkurranseportal";"Kunngjøring av konkurranse";"2022-02-28";"2022-03-28";"/Notice/Details/2022-356423";"60000000";"550000000";"9";"2022";"28";"man\."
"2022-387657";"22/00668 Leie av Autolinefartøy forsøk krok og forsyn";"Havforskningsinstituttet";"Kunngjøring av konkurranse";"2022-02-28";"2022-03-10";"/Notice/Details/2022-387657";"60650000";"4000000";"9";"2022";"10";"man\."
"2022-336717";"Kunnskapsinnhenting - elektronisk stemming";"Kommunal- og distriktsdepartementet";"Kunngjøring av konkurranse";"2022-02-28";"2022-03-31";"/Notice/Details/2022-336717";"73000000";"25000000";"9";"2022";"31";"man\."
"2022-398058";"Parallell rammeavtale IT -konsulenter";"Sola kommune";"Kunngjøring av konkurranse";"2022-02-28";"2022-03-30";"/Notice/Details/2022-398058";"72000000";"15000000";"9";"2022";"30";"man\."
"2022-373902";"Fugleskjærkaia - kai D - rehabilitering";"Florø Hamn KF";"Kunngjøring av konkurranse";"2022-02-28";"2022-03-29";"/Notice/Details/2022-373902";"45262330";NA;"9";"2022";"29";"man\."
"2022-352956";"Arbeidet med kommunedelplan for drikkevatn og avlaup.";"Masfjorden Kommune";"Kunngjøring av konkurranse";"2022-02-28";"2022-03-18";"/Notice/Details/2022-352956";"71800000";"4000000";"9";"2022";"18";"man\."
"2022-354846";"Konsulenttjenester for utredning av flomsikringstiltak - Liknes sentrum langs Kvina og Litleåna";"OFA - Konkurranseportal";"Kunngjøring av konkurranse";"2022-02-27";"2022-03-14";"/Notice/Details/2022-354846";"71300000";"22000000";"9";"2022";"15";"søn\."
"2022-392524";"Ventilasjonstjenester for Sykehuset Østfold HF";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-02-27";"2022-04-01";"/Notice/Details/2022-392524";"45331210";"500000000";"9";"2022";"33";"søn\."
"2022-340866";"Tolketjenester";"Hå kommune";"Kunngjøring av konkurranse";"2022-02-27";"2022-03-29";"/Notice/Details/2022-340866";"79540000";"90000000";"9";"2022";"30";"søn\."
"2022-310112";"Tensio AS - Kvalifiseringsfase - Rammeavtale for reisebyråtjenester";"TENSIO AS";"Kunngjøring av konkurranse";"2022-02-27";"2022-03-28";"/Notice/Details/2022-310112";"63510000";"108000000";"9";"2022";"29";"søn\."
"2022-317200";"Rammeavtale utkjøring av husdyrgjødsel";"Norges miljø- og biovitenskapelige universitet";"Kunngjøring av konkurranse";"2022-02-27";"2022-03-31";"/Notice/Details/2022-317200";"77100000";NA;"9";"2022";"32";"søn\."
"2022-350981";"Anskaffelse - Ny traktor til Volda kommune, 2022";"Ålesund kommune";"Kunngjøring av konkurranse";"2022-02-27";"2022-03-31";"/Notice/Details/2022-350981";"16700000";NA;"9";"2022";"32";"søn\."
"2022-372959";"Kvalifikasjonsfase- Nye arbeidsbåter til vedlikeholdslag";"KYSTVERKET";"Kunngjøring av konkurranse";"2022-02-27";"2022-03-28";"/Notice/Details/2022-372959";"34500000";"570000000";"9";"2022";"29";"søn\."
"2022-390764";"Rammeavtale; programmeringsarkitekt";"Viken fylkeskommune";"Kunngjøring av konkurranse";"2022-02-27";"2022-03-31";"/Notice/Details/2022-390764";"71310000";NA;"9";"2022";"32";"søn\."
"2022-338366";"Avinor AS - K-190421 - Car Park Booking System (Bookingsystem Parkering)";"AVINOR AS";"Kunngjøring av konkurranse";"2022-02-27";"2022-03-28";"/Notice/Details/2022-338366";"72268000";NA;"9";"2022";"29";"søn\."
"2022-386956";"Anskaffelse av konferansearrangør ISSW2024";"Norges vassdrags- og energidirektorat (NVE)";"Kunngjøring av konkurranse";"2022-02-27";"2022-04-05";"/Notice/Details/2022-386956";"79952000";NA;"9";"2022";"37";"søn\."
"2022-348902";"Avfallsbehaldarar matavfall SUM";"Sunnfjord Miljøverk IKS (SUM)";"Kunngjøring av konkurranse";"2022-02-27";"2022-03-31";"/Notice/Details/2022-348902";"44613700";NA;"9";"2022";"32";"søn\."
"2022-380708";"Sammenligning av krav til yrkesfartøy og krav til fritidsfartøy";"Sjøfartsdirektoratet";"Kunngjøring av konkurranse";"2022-02-27";"2022-03-28";"/Notice/Details/2022-380708";"71241000";"16000000";"9";"2022";"29";"søn\."
"2022-353144";"Maler-, tapetserer-, gulvleggertjenester og materialer";"Asker kommune";"Kunngjøring av konkurranse";"2022-02-27";"2022-03-28";"/Notice/Details/2022-353144";"71310000";"680000000";"9";"2022";"29";"søn\."
"2022-389102";"Vikartjenester administrativt- og støttepersonell til helseforetakene i Norge - Nasjonal anskaffelse";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-02-27";"2022-03-23";"/Notice/Details/2022-389102";"79620000";"2400000000";"9";"2022";"24";"søn\."
"2022-343484";"Papirposar og korger matavfall SUM";"Sunnfjord Miljøverk IKS (SUM)";"Kunngjøring av konkurranse";"2022-02-27";"2022-03-31";"/Notice/Details/2022-343484";"18930000";NA;"9";"2022";"32";"søn\."
"2022-337453";"Rammeavtale - Vikartjenester - Helse";"Narvik kommune";"Kunngjøring av konkurranse";"2022-02-27";"2022-03-31";"/Notice/Details/2022-337453";"79624000";"1000000000";"9";"2022";"32";"søn\."
"2022-377135";"Sikkerhetskabinett til de nye sykehusene i Hammerfest, Narvik, Nordmøre og Romsdal samt UIT og Narvik kommune";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-02-27";"2022-03-31";"/Notice/Details/2022-377135";"33100000";NA;"9";"2022";"32";"søn\."
"2022-305891";"Konkurranse på driftskontrakt 5405 Langslett-Skjervøy 2022 - 2027";"TROMS OG FINNMARK FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-02-27";"2022-04-22";"/Notice/Details/2022-305891";"63712200";NA;"9";"2022";"54";"søn\."
"2022-343252";"Konkurranse på driftskontrakt 5403 Kåfjord 2022 - 2027";"TROMS OG FINNMARK FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-02-27";"2022-04-22";"/Notice/Details/2022-343252";"63712200";NA;"9";"2022";"54";"søn\."
"2022-304446";"Konkurranse på driftskontrakt 5404 Uløy 2022- 2027";"TROMS OG FINNMARK FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-02-27";"2022-04-22";"/Notice/Details/2022-304446";"63712200";NA;"9";"2022";"54";"søn\."
"2022-381678";"Konkurranse på driftskontrakt 5406 Arnøy 2022 - 2027";"TROMS OG FINNMARK FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-02-27";"2022-04-22";"/Notice/Details/2022-381678";"63712200";NA;"9";"2022";"54";"søn\."
"2022-329220";"Konkurranse på driftskontrakt 5407 Laukøy 2022 - 2027";"TROMS OG FINNMARK FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-02-27";"2022-04-22";"/Notice/Details/2022-329220";"63712200";NA;"9";"2022";"54";"søn\."
"2022-390321";"Konkurranse på driftskontrakt 5408 Storslett 2022- 2027";"TROMS OG FINNMARK FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-02-27";"2022-04-22";"/Notice/Details/2022-390321";"63712200";NA;"9";"2022";"54";"søn\."
"2022-305577";"Konkurranse på driftskontrakt 5411 Jøkelfjord 2022- 2027";"TROMS OG FINNMARK FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-02-27";"2022-04-22";"/Notice/Details/2022-305577";"63712200";NA;"9";"2022";"54";"søn\."
"2022-351908";"Konkurranse på driftskontrakt 5410 Kvænangen 2022 - 2027";"TROMS OG FINNMARK FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-02-27";"2022-04-22";"/Notice/Details/2022-351908";"63712200";NA;"9";"2022";"54";"søn\."
"2022-365637";"Drift og vedlikehold fylkesveg DK1803 Mosjøen 2022 - 2027";"Nordland fylkeskommune";"Kunngjøring av konkurranse";"2022-02-27";"2022-04-07";"/Notice/Details/2022-365637";"45233141";NA;"9";"2022";"39";"søn\."
"2022-389361";"Regnskaps -og lønnstjenester";"STAVANGER KONSERTHUS IKS";"Kunngjøring av konkurranse";"2022-02-27";"2022-03-31";"/Notice/Details/2022-389361";"79200000";NA;"9";"2022";"32";"søn\."
"2022-369761";"Rammeavtale veg, vann og avløp";"Melhus kommune";"Kunngjøring av konkurranse";"2022-02-27";"2022-03-29";"/Notice/Details/2022-369761";"71300000";"120000000";"9";"2022";"30";"søn\."
"2022-343409";"Rammeavtale for oppgaver knyttet til håndtering av teknisk informasjon.";"Gassco AS";"Kunngjøring av konkurranse";"2022-02-26";"2022-04-04";"/Notice/Details/2022-343409";"76100000";"200000000";"9";"2022";"37";"lør\."
"2022-358557";"Rammeavtale for byggekostnadskalkyle";"Oslo kommune v/ Boligbygg Oslo KF";"Kunngjøring av konkurranse";"2022-02-26";"2022-03-31";"/Notice/Details/2022-358557";"71000000";"100000000";"9";"2022";"33";"lør\."
"2022-391199";"Anskaffelse av konsulenttjenester for kommunikasjons-, informasjons- og designtjenester";"Integrerings- og mangfoldsdirektoratet (IMDi)";"Kunngjøring av konkurranse";"2022-02-26";"2022-03-23";"/Notice/Details/2022-391199";"79000000";"180000000";"9";"2022";"25";"lør\."
"2022-373556";"Rammeavtale entreprenørtjenester Vest- og østlandet";"Spordrift AS";"Kunngjøring av konkurranse";"2022-02-26";"2022-04-05";"/Notice/Details/2022-373556";"45234100";"1500000000";"9";"2022";"38";"lør\."
"2022-370006";"Rammeavtale - Servere- lagring og nettverkskomponenter";"Vestfold og Telemark fylkeskommune";"Kunngjøring av konkurranse";"2022-02-26";"2022-03-28";"/Notice/Details/2022-370006";"48820000";"560000000";"9";"2022";"30";"lør\."
"2022-300737";"2022/5614 Rammeavtale ARK";"Sandefjord Kommune";"Kunngjøring av konkurranse";"2022-02-26";"2022-03-25";"/Notice/Details/2022-300737";"71210000";"80000000";"9";"2022";"27";"lør\."
"2022-310758";"Rammeavtale Anskaffelse av audiovisuelt utstyr";"Trondheim kommune";"Kunngjøring av konkurranse";"2022-02-26";"2022-03-28";"/Notice/Details/2022-310758";"32300000";"1400000000";"9";"2022";"30";"lør\."
